periodo_previsao,periodo_alvo,lag_meses,sinal,fase_enso,regiao,produto,id_produto,previsao,real,variacao_real,acerto
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Acucares e derivados,acucares,ALTA,ALTA,2.467,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Aves e ovos,aves_ovos,ALTA,ALTA,1.024,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Sul,IPCA - Aves e ovos,aves_ovos,ESTAVEL,ALTA,1.024,False
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Carnes e peixes,carnes,ALTA,ALTA,7.79,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,"IPCA - Cereais, leguminosas e oleag",cereais,ALTA,ALTA,6.326,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Frutas,frutas,ALTA,ALTA,7.476,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Horticultura,horticultura,ALTA,ALTA,3.067,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Geral,ipca_geral,ALTA,ALTA,1.24,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Leite e derivados,leite,ALTA,ALTA,6.806,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Oleos e gorduras,oleos,ALTA,ALTA,3.293,True
201410,201501,3,ONI=+0.5,el_nino_fraco,Nordeste,IPCA - Panificados,panificados,ALTA,ALTA,7.262,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Acucares e derivados,acucares,ALTA,ALTA,2.467,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Acucares e derivados,acucares,ALTA,ALTA,2.687,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Aves e ovos,aves_ovos,ALTA,ALTA,1.024,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Aves e ovos,aves_ovos,ALTA,ALTA,1.323,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Sul,IPCA - Aves e ovos,aves_ovos,ESTAVEL,ALTA,1.323,False
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Carnes e peixes,carnes,ALTA,ALTA,7.79,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Carnes e peixes,carnes,ALTA,ESTAVEL,-0.064,False
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,"IPCA - Cereais, leguminosas e oleag",cereais,ALTA,ALTA,1.733,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Frutas,frutas,ALTA,ALTA,7.476,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Frutas,frutas,ALTA,ALTA,0.59,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Horticultura,horticultura,ALTA,ALTA,3.067,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Horticultura,horticultura,ALTA,ALTA,1.121,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Geral,ipca_geral,ALTA,ALTA,1.24,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Geral,ipca_geral,ALTA,ALTA,1.22,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Leite e derivados,leite,ALTA,ALTA,6.806,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Leite e derivados,leite,ALTA,ALTA,1.229,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Oleos e gorduras,oleos,ALTA,ALTA,3.293,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Oleos e gorduras,oleos,ALTA,ALTA,4.356,True
201411,201501,2,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Panificados,panificados,ALTA,ALTA,7.262,True
201411,201502,3,ONI=+0.7,el_nino_fraco,Nordeste,IPCA - Panificados,panificados,ALTA,ALTA,0.594,True
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Acucares e derivados,acucares,ALTA,ALTA,2.687,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Acucares e derivados,acucares,ALTA,ALTA,0.772,True
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Aves e ovos,aves_ovos,ALTA,ALTA,1.323,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Aves e ovos,aves_ovos,ALTA,ALTA,1.629,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Sul,IPCA - Aves e ovos,aves_ovos,ESTAVEL,ALTA,1.629,False
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Carnes e peixes,carnes,ALTA,ESTAVEL,-0.064,False
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Carnes e peixes,carnes,ALTA,ALTA,3.227,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,"IPCA - Cereais, leguminosas e oleag",cereais,ALTA,ALTA,2.356,True
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Frutas,frutas,ALTA,ALTA,0.59,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Frutas,frutas,ALTA,QUEDA,-0.663,False
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Horticultura,horticultura,ALTA,ALTA,1.121,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Horticultura,horticultura,ALTA,ALTA,4.229,True
201412,201501,1,ONI=+0.8,el_nino_fraco,Sul,IPCA - Horticultura,horticultura,ESTAVEL,ALTA,3.067,False
201412,201502,2,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Geral,ipca_geral,ALTA,ALTA,1.22,True
201412,201503,3,ONI=+0.8,el_nino_fraco,Nordeste,IPCA - Geral,ipca_geral,ALTA,ALTA,1.32,True
